  Run#   Cultivar     DAYL      Srad     Tmean        Vt      SumRFi      ADAP      ADOY
     1   Gen=1        11.5      21.5      15.0      1.60     0.01561      64.1       105
     2   Gen=1        11.5      21.5      16.0      1.60     0.01533      65.2       106
     3   Gen=1        11.5      21.5      17.0      1.60     0.01504      66.5       107
     4   Gen=1        11.5      21.5      18.0      1.60     0.01476      67.8       108
     5   Gen=1        11.5      21.5      19.0      1.60     0.01448      69.1       110
     6   Gen=1        11.5      21.5      20.0      1.60     0.01419      70.5       111
     7   Gen=1        11.5      21.5      21.0      1.60     0.01391      71.9       112
     8   Gen=1        11.5      21.5      22.0      1.60     0.01362      73.4       114
     9   Gen=1        11.5      21.5      23.0      1.60     0.01334      75.0       115
    10   Gen=1        11.5      21.5      24.0      1.60     0.01306      76.6       117
    11   Gen=1        11.5      21.5      25.0      1.60     0.01277      78.3       119
    12   Gen=1        11.5      21.5      26.0      1.60     0.01249      80.1       121
    13   Gen=1        11.5      21.5      27.0      1.60     0.01221      81.9       122
    14   Gen=1        11.5      21.5      28.0      1.60     0.01192      83.9       124
    15   Gen=1        11.5      21.5      29.0      1.60     0.01164      85.9       126
    16   Gen=1        12.0      21.5      15.0      1.60     0.01317      75.9       116
    17   Gen=1        12.0      21.5      16.0      1.60     0.01289      77.6       118
    18   Gen=1        12.0      21.5      17.0      1.60     0.01260      79.3       120
    19   Gen=1        12.0      21.5      18.0      1.60     0.01232      81.2       122
    20   Gen=1        12.0      21.5      19.0      1.60     0.01204      83.1       124
    21   Gen=1        12.0      21.5      20.0      1.60     0.01175      85.1       126
    22   Gen=1        12.0      21.5      21.0      1.60     0.01147      87.2       128
    23   Gen=1        12.0      21.5      22.0      1.60     0.01119      89.4       130
    24   Gen=1        12.0      21.5      23.0      1.60     0.01090      91.7       132
    25   Gen=1        12.0      21.5      24.0      1.60     0.01062      94.2       135
    26   Gen=1        12.0      21.5      25.0      1.60     0.01034      96.7       137
    27   Gen=1        12.0      21.5      26.0      1.60     0.01005      99.5       140
    28   Gen=1        12.0      21.5      27.0      1.60     0.00977     102.4       143
    29   Gen=1        12.0      21.5      28.0      1.60     0.00949     105.4       146
    30   Gen=1        12.0      21.5      29.0      1.60     0.00920     108.7       149
    31   Gen=1        12.5      21.5      15.0      1.60     0.01073      93.2       134
    32   Gen=1        12.5      21.5      16.0      1.60     0.01045      95.7       136
    33   Gen=1        12.5      21.5      17.0      1.60     0.01017      98.4       139
    34   Gen=1        12.5      21.5      18.0      1.60     0.00988     101.2       142
    35   Gen=1        12.5      21.5      19.0      1.60     0.00960     104.2       145
    36   Gen=1        12.5      21.5      20.0      1.60     0.00932     107.3       148
    37   Gen=1        12.5      21.5      21.0      1.60     0.00903     110.7       151
    38   Gen=1        12.5      21.5      22.0      1.60     0.00875     114.3       155
    39   Gen=1        12.5      21.5      23.0      1.60     0.00847     118.1       159
    40   Gen=1        12.5      21.5      24.0      1.60     0.00818     122.2       163
    41   Gen=1        12.5      21.5      25.0      1.60     0.00790     126.6       167
    42   Gen=1        12.5      21.5      26.0      1.60     0.00761     131.3       172
    43   Gen=1        12.5      21.5      27.0      1.60     0.00733     136.4       177
    44   Gen=1        12.5      21.5      28.0      1.60     0.00705     141.9       182
    45   Gen=1        12.5      21.5      29.0      1.60     0.00676     147.8       188
