Marker values for genotype:  Gen102 
  Xi(5)  =   2.000
  Xi(7)  =   2.000
  Xi(10) =   2.000
  Xi(13) =   2.000
  Xi(17) =   2.000
  Xi(18) =   2.000
  Xi(24) =   2.000
  Xi(26) =   2.000
  Xi(29) =   2.000
  Xi(30) =   2.000
  Xi(37) =   2.000
  Xi(40) =   2.000
  Xi(43) =   2.000
  Xi(44) =   2.000
  Xi(56) =   2.000
  Xi(60) =   2.000
  Xi(68) =   2.000

  Run#   Cultivar     DAYL      Srad     Tmean        Vt      SumRFi      ADAP      ADOY
     1   Gen102       11.5      21.5      15.0      1.60     0.00000     -99.0       -99
     2   Gen102       11.5      21.5      16.0      1.60     0.00000     -99.0       -99
     3   Gen102       11.5      21.5      17.0      1.60     0.00000     -99.0       -99
     4   Gen102       11.5      21.5      18.0      1.60     0.00100     995.8      1036
     5   Gen102       11.5      21.5      19.0      1.60     0.00204     489.2       530
     6   Gen102       11.5      21.5      20.0      1.60     0.00308     324.2       365
     7   Gen102       11.5      21.5      21.0      1.60     0.00412     242.5       283
     8   Gen102       11.5      21.5      22.0      1.60     0.00516     193.6       234
     9   Gen102       11.5      21.5      23.0      1.60     0.00620     161.2       202
    10   Gen102       11.5      21.5      24.0      1.60     0.00724     138.0       179
    11   Gen102       11.5      21.5      25.0      1.60     0.00828     120.7       161
    12   Gen102       11.5      21.5      26.0      1.60     0.00932     107.2       148
    13   Gen102       11.5      21.5      27.0      1.60     0.01036      96.5       137
    14   Gen102       11.5      21.5      28.0      1.60     0.01140      87.7       128
    15   Gen102       11.5      21.5      29.0      1.60     0.01244      80.4       121
    16   Gen102       12.0      21.5      15.0      1.60     0.00000     -99.0       -99
    17   Gen102       12.0      21.5      16.0      1.60     0.00048     -99.0       -99
    18   Gen102       12.0      21.5      17.0      1.60     0.00152     656.5       697
    19   Gen102       12.0      21.5      18.0      1.60     0.00256     390.1       431
    20   Gen102       12.0      21.5      19.0      1.60     0.00360     277.5       318
    21   Gen102       12.0      21.5      20.0      1.60     0.00464     215.4       256
    22   Gen102       12.0      21.5      21.0      1.60     0.00568     176.0       216
    23   Gen102       12.0      21.5      22.0      1.60     0.00672     148.7       189
    24   Gen102       12.0      21.5      23.0      1.60     0.00776     128.8       169
    25   Gen102       12.0      21.5      24.0      1.60     0.00880     113.6       154
    26   Gen102       12.0      21.5      25.0      1.60     0.00984     101.6       142
    27   Gen102       12.0      21.5      26.0      1.60     0.01088      91.9       132
    28   Gen102       12.0      21.5      27.0      1.60     0.01192      83.9       124
    29   Gen102       12.0      21.5      28.0      1.60     0.01296      77.1       118
    30   Gen102       12.0      21.5      29.0      1.60     0.01400      71.4       112
    31   Gen102       12.5      21.5      15.0      1.60     0.00100     997.8      1038
    32   Gen102       12.5      21.5      16.0      1.60     0.00204     489.7       530
    33   Gen102       12.5      21.5      17.0      1.60     0.00308     324.4       365
    34   Gen102       12.5      21.5      18.0      1.60     0.00412     242.6       283
    35   Gen102       12.5      21.5      19.0      1.60     0.00516     193.7       234
    36   Gen102       12.5      21.5      20.0      1.60     0.00620     161.2       202
    37   Gen102       12.5      21.5      21.0      1.60     0.00724     138.1       179
    38   Gen102       12.5      21.5      22.0      1.60     0.00828     120.7       161
    39   Gen102       12.5      21.5      23.0      1.60     0.00932     107.3       148
    40   Gen102       12.5      21.5      24.0      1.60     0.01036      96.5       137
    41   Gen102       12.5      21.5      25.0      1.60     0.01140      87.7       128
    42   Gen102       12.5      21.5      26.0      1.60     0.01244      80.4       121
    43   Gen102       12.5      21.5      27.0      1.60     0.01348      74.2       115
    44   Gen102       12.5      21.5      28.0      1.60     0.01452      68.9       109
    45   Gen102       12.5      21.5      29.0      1.60     0.01556      64.3       105
    46   Gen102       13.0      21.5      15.0      1.60     0.00256     390.4       431
    47   Gen102       13.0      21.5      16.0      1.60     0.00360     277.7       318
    48   Gen102       13.0      21.5      17.0      1.60     0.00464     215.5       256
    49   Gen102       13.0      21.5      18.0      1.60     0.00568     176.0       217
    50   Gen102       13.0      21.5      19.0      1.60     0.00672     148.8       189
    51   Gen102       13.0      21.5      20.0      1.60     0.00776     128.8       169
    52   Gen102       13.0      21.5      21.0      1.60     0.00880     113.6       154
    53   Gen102       13.0      21.5      22.0      1.60     0.00984     101.6       142
